(-1.21447, 1.47089) (-3.01141, 2.52834) (-3.05716, 1.81814) (2.40582, 0.601748) (0.0434243, 2.48427) (-0.488041, 2.72073) 
(-1.21447, 1.47089) (-3.01141, 2.52834) (-3.05716, 1.81814) (2.40584, 0.601748) (0.043429, 2.48427) (-0.476411, 2.73722) 
(-1.21447, 1.47089) (-3.01141, 2.52834) (-3.05716, 1.81814) (2.40583, 0.60169) (0.0434075, 2.48428) (-0.465785, 2.75301) 
(-1.21447, 1.47089) (-3.01141, 2.52834) (-3.05716, 1.81814) (2.40583, 0.601758) (0.0434267, 2.48427) (-0.455728, 2.76693) 
(-1.21447, 1.47089) (-3.01141, 2.52834) (-3.05716, 1.81814) (2.40583, 0.601754) (0.0434425, 2.48427) (-0.446585, 2.77958) 
(-1.21447, 1.47089) (-3.01141, 2.52834) (-3.05716, 1.81814) (2.4058, 0.601704) (0.0434324, 2.48429) (-0.434815, 2.79348) 
(-1.21447, 1.47089) (-3.01141, 2.52834) (-3.05716, 1.81814) (2.4058, 0.601724) (0.0434294, 2.48427) (-0.426495, 2.80324) 
(-1.21447, 1.47089) (-3.01141, 2.52834) (-3.05716, 1.81814) (2.40584, 0.601734) (0.0434502, 2.48427) (-0.415303, 2.81468) 
(-1.21447, 1.47089) (-3.01141, 2.52834) (-3.05716, 1.81814) (2.40584, 0.601728) (0.0434481, 2.48428) (-0.405684, 2.82494) 
(-1.21447, 1.47089) (-3.01141, 2.52834) (-3.05716, 1.81814) (2.40585, 0.601743) (0.0434979, 2.48434) (-0.397526, 2.83516) 
(-1.21447, 1.47089) (-3.01141, 2.52834) (-3.05716, 1.81814) (2.40583, 0.60174) (0.043496, 2.48436) (-0.391096, 2.84305) 
(-1.21447, 1.47089) (-3.01141, 2.52834) (-3.05716, 1.81814) (2.40582, 0.601729) (0.0435075, 2.48437) (-0.382727, 2.85174) 
(-1.21447, 1.47089) (-3.01141, 2.52834) (-3.05716, 1.81814) (2.40583, 0.60174) (0.0435389, 2.48433) (-0.373858, 2.85865) 
(-1.21447, 1.47089) (-3.01141, 2.52834) (-3.05716, 1.81814) (2.40582, 0.601706) (0.0434336, 2.48427) (-0.365339, 2.86713) 
(-1.21447, 1.47089) (-3.01141, 2.52834) (-3.05716, 1.81814) (2.40583, 0.601748) (0.0434516, 2.48428) (-0.357857, 2.87461) 
(-1.21447, 1.47089) (-3.01141, 2.52834) (-3.05716, 1.81814) (2.40582, 0.601721) (0.0434026, 2.48427) (-0.350709, 2.88096) 
